Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Dato - Ønsket tilknytning,Kunde og tilknytningsansvarlig,Kapasitet i kø (MW)
24/01745,ELB2018,Ålfoten TRA,Sogn og Sunnmøre,NO3,Linja AS,SFE Produksjon AS,Vannkraft,2024-08-18,2030-01-30,Hans Olav Ween,118
24/01746,ELB2925,Fortun KRA/TRA,Sogn og Sunnmøre,NO5,Linja AS,Årdal Energi Produksjon AS,Vannkraft,2024-07-09,2030-01-30,Hans Olav Ween,8
24/01764,ELB198,Vardal TRA,Innlandet,NO1,Elvia As,Stormvind AS,Solkraft,2024-08-19,2027-03-30,Heidi Hellesvik Ringstad,12
24/01765,ELB154,Vang TRA,Innlandet,NO1,Elvia As,Hafslund Kraft AS,Vannkraft,2024-09-13,2028-01-01,Heidi Hellesvik Ringstad,10
24/01787,ELB1511,Hergot,Nord,NO4,Nordkraft Magasin As,Nygård kraftverk,Vannkraft,2024-10-07,2030-06-02,Lars Erik Johansen,25
24/01812,ELB157,Vang TRA,Innlandet,NO1,Elvia As,Graupel Vind DA,Vindkraft,2024-10-24,2031-09-29,Heidi Hellesvik Ringstad,43.2
25/01984,ELB2026,Ålfoten TRA,Sogn og Sunnmøre,NO3,Linja AS,SFE Produksjon AS,Vannkraft,2025-01-31,2027-07-01,Hans Olav Ween,8.7
25/01997,ELB498,Rendalen transformatorstasjon TRA,Innlandet,NO1,Elvia As,HAFSLUND MAGNORA SOL AS,Solkraft,2025-02-05,2028-06-29,Heidi Hellesvik Ringstad,86
25/02017,ELB2933,Sogndal TRA,Sogn og Sunnmøre,NO5,Sygnir AS,Småkraft AS,Vannkraft,2025-03-21,2028-04-01,Hans Olav Ween,7.4
25/02029,ELB164,Vang TRA,Innlandet,NO1,Elvia As,Aneo AS,Solkraft,2024-12-18,2027-12-30,Heidi Hellesvik Ringstad,10
25/02039,ELB1210,Eidum TRA,Midt,NO3,Tensio AS, Clemens Kraft,Vannkraft,2026-02-27,2025-10-01,Christopher Aarnseth Ruud,24
25/02041,ELB606,Røldal KRA/TRA,Bergen og Haugalandet,NO2,Fagne AS,CAPTIVA ENERGI AS,Vannkraft,2024-09-23,2029-01-01,Magnus Øverby Tennøe,7.9
25/02043,ELB1587,Aurland 3 KRA/TRA,Hallingdal og Ringerike,NO5,Hafslund Kraft As,Hafslund Kraft AS,Vannkraft,2025-04-23,2032-12-31,Hans Olav Ween,140
25/02044,ELB1586,Aurland 2 KRA/TRA,Hallingdal og Ringerike,NO5,Hafslund Kraft As,Hafslund Kraft AS,Vannkraft,2025-05-01,2032-12-31,Hans Olav Ween,105
25/02051,ELB180,Vang TRA,Innlandet,NO1,Elvia As,Energeia AS,Solkraft,2024-04-25,2028-06-29,Heidi Hellesvik Ringstad,14
25/02061,ELB78,Nedre Røssåga KRA/TRA,Helgeland og Salten,NO4,Linea AS,Cadre,Vannkraft,2024-10-02,2028-01-01,Ingvild Grøtterud Birkeland,8
25/02069,ELB1987,Ålfoten TRA,Sogn og Sunnmøre,NO3,Linja AS,Småkraft AS,Vannkraft,2025-01-06,2028-04-01,Hans Olav Ween,5.47
25/02076,ELB202,Vang TRA,Innlandet,NO1,Elvia As,Vindr AS,Solkraft,2024-12-17,2028-06-29,Heidi Hellesvik Ringstad,44
25/02102,ELB1417,Viklandet TRA,Midt,NO3,Trønderenergi,,Vannkraft,2026-03-13,2034-01-01,Hans Olav Ween,600
25/02116,ELB213,Vang TRA,Innlandet,NO1,Elvia As,Innlandet Fornybar AS,Solkraft,2024-06-24,2029-09-29,Heidi Hellesvik Ringstad,80
25/02118,ELB208,Minne TRA,Innlandet,NO1,Elvia As,Landinfra Energy Norway AS,Solkraft,2023-11-05,2028-03-30,Heidi Hellesvik Ringstad,23
25/02119,ELB209,Minne TRA,Innlandet,NO1,Elvia As,Landinfra Energy Norway AS,Solkraft,2023-12-18,2028-03-30,Heidi Hellesvik Ringstad,13
